標題,連結,類別,內容,時間
陳泰銘接國創半導體董事長 國巨與富鼎合作將更緊密,https://news.cnyes.com/news/id/5198806?exp=a,台股新聞,"
&lt;p&gt;鴻海 (2317-TW) 與國巨 (2327-TW) 宣布，調整合資公司國創半導體股權結構，國巨集團將持有國創半導體 55% 股權，鴻海持有 45%，並由國巨董事長陳泰銘擔任國創半導體董事長。&lt;/p&gt;

&lt;p&gt;而國創半導體去年 5 月參與 MOSFET 大廠富鼎先進 (8261-TW) 私募成為其最大法人股東，而今年富鼎股東會改選董事，陳泰銘也進入富鼎董事會，並出任富鼎董事長。&lt;/p&gt;

&lt;p&gt;因此，透過此次國創股權調整、陳泰銘出任董事長後，更強化國巨與富鼎的策略合作與 MOSFET 產品整合，並從現有客群集中在亞太區域的消費電子 / 工控市場，透過國巨的全球通路，供貨給歐美日等高端及利基型客群，開創全新的成長動能。&lt;/p&gt;

&lt;p&gt;陳泰銘表示，藉由此次策略新布局，國巨與鴻海彼此把最有利的資源導向至效益最大化的領域，而透過專注於 MOSFET 產品開發，將會是國巨從被動元件市場跨入半導體主動元件市場的重要里程碑。&lt;/p&gt;

&lt;p&gt;國創半導體自有設計的電源 IC 與 MOSFET 已經&lt;span&gt;量產出貨予 PC 系統大廠及工控 / 消費電子客戶。在此次策略調整後，鴻海與國巨未來在小 IC 領域上的分工合作更明確。&lt;/span&gt;&lt;/p&gt;

",2023/05/31 23:57
美4月JOLTS職位空缺數激增至3個月來新高 Fed升息可能性加大,https://news.cnyes.com/news/id/5198802?exp=a,美股,"&lt;p&gt;美國勞工部周三（31 日）公布的 4 月職位空缺和勞動力流動調查（JOLTS）報告顯示，上月職位空缺數為 1,010 萬個，遠超市場預期的 940 萬，創下 3 個月來新高，前值自 959 萬修正為 975 萬。最新數據顯示美國就業市場需求強勁，恐怕讓聯準會（Fed）有理由考慮近期再次升息。&lt;/p&gt;

&lt;figure&gt;&lt;img alt=&quot;圖：ZeroHedge&quot; data-height=&quot;360&quot; data-mime=&quot;image/jpeg&quot; data-ratio=&quot;2.111111111111111&quot; data-src-m=&quot;https://cimg.cnyes.cool/prod/news/5198802/m/011d2f3a6b262698d094f6484c876a4e.jpg&quot; data-width=&quot;760&quot; src=&quot;https://cimg.cnyes.cool/prod/news/5198802/l/011d2f3a6b262698d094f6484c876a4e.jpg&quot;&gt;
&lt;figcaption&gt;圖：ZeroHedge&lt;/figcaption&gt;
&lt;/figure&gt;

&lt;p&gt;該報告公布後，市場對 6 月升息的預期恢復到逾 70% 的可能性，此前芝加哥採購經理人指數（PMI）表現遜於預期，市場對該預期略有打擊。兩年期美國公債殖利率走揚，標普 500 指數進一步下跌。&lt;/p&gt;

&lt;p&gt;報告顯示，零售貿易、醫療保健、運輸和倉儲領漲上月的職位空缺數，而住宿和餐飲服務、商業服務和製造業的職位空缺減少。與此同時，企業招聘人數小幅上升。&lt;/p&gt;

&lt;figure&gt;&lt;img alt=&quot;圖：ZeroHedge&quot; data-height=&quot;648&quot; data-mime=&quot;image/jpeg&quot; data-ratio=&quot;1.1574074074074074&quot; data-src-m=&quot;https://cimg.cnyes.cool/prod/news/5198802/m/dc0877fda89dc8d3fe70b9cf3229fbe4.jpg&quot; data-width=&quot;750&quot; src=&quot;https://cimg.cnyes.cool/prod/news/5198802/l/dc0877fda89dc8d3fe70b9cf3229fbe4.jpg&quot;&gt;
&lt;figcaption&gt;圖：ZeroHedge&lt;/figcaption&gt;
&lt;/figure&gt;

&lt;p&gt;儘管金融環境收緊迫使一些雇主停止招聘，但對勞動力的需求在很大程度上仍保持彈性。雖然從科技和銀行業等白領階級開始的裁員正開始蔓延到其他行業，但一些公司仍難以招到員工。&lt;/p&gt;

&lt;p&gt;數據透露，美國雇主對工人的需求繼續超過供給，另外 Fed 強調，通膨降溫的關鍵是讓供需恢復平衡，抑制薪資成長。這些數據加上通膨率仍遠高於目標，可能促使決者者在兩周後的會議上推動再次升息。&lt;/p&gt;

&lt;p&gt;另一方面，有鑑於銀行業的壓力和債務上限問題，一些 Fed 官員傾向暫停升息。決策者還將於周五（6/2）獲得最新的非農就業報告，外界預估該報告將顯示 5 月就業放緩、失業率上升。&lt;/p&gt;

&lt;p&gt;根據 JOLTS 的資料，Fed 密切關注的空缺職位與失業人口的比率在 4 月上升至 1.8，為 3 個月來新高。在新冠疫情大流行之前的穩定勞動力市場，這一比例約為 1.2。&lt;/p&gt;
",2023/05/31 23:50
歐洲央行示警：升息將危及金融市場穩定,https://news.cnyes.com/news/id/5198450?exp=a,歐亞股,"&lt;p&gt;歐洲央行（ECB）表示，在繼續對抗高通膨的過程中，金融市場將容易受到負面衝擊，而房地產是面臨風險的行業之一。&lt;/p&gt;

&lt;p&gt;ECB 周三（31 日）在半年度的《金融穩定評估》（Financial Stability Review）報告中說，利率上升正在考驗家庭、企業、政府和房地產市場的彈性，並警告還可能讓投資人面臨無序調整的風險。&lt;/p&gt;

&lt;p&gt;報告補充說，儘管迄今為止，銀行業對美國和瑞士近期的動盪表現得相當有彈性，但融資成本上升和資產品質下降仍可能削弱其盈利能力。ECB 表示：「金融市場仍容易受不太有利的經濟成長和通膨結果的影響，而不得不出售證券可能會放大不利的市場動態。」&lt;/p&gt;

&lt;p&gt;這些警告是對 ECB 在 25 年歷史上最激進的貨幣緊縮行動的全面影響報告。不過，儘管歐元區 20 國的金融穩定和經濟成長面臨揮之不去的危險，但努力讓通膨率回到 2% 的官員們說，自去年 7 月以來的一連串升息並未結束。&lt;/p&gt;

&lt;p&gt;ECB 副總裁戴金多斯（Luis de Guindos）在報告的序言中寫道：「價格穩定對於長久維護金融穩定仍然至關重要。」他隨後詳細闡述了決策者現在必須接受的升息副作用。&lt;/p&gt;

&lt;p&gt;他表示:：「有力應對高通膨而收緊的融資環境，促使人們重新評估經濟前景，並扭轉了過度壓縮的資產價格風險溢價。隨著金融狀況正常化，這可能會暴露出金融體系的脆弱性和斷層線。」&lt;/p&gt;

&lt;p&gt;房地產是 ECB 特別提到的一個領域。房價在相對較短的時間內已經大幅降溫，如果抵押貸款成本上升繼續減少需求，房價可能會進一步下跌。&lt;/p&gt;

&lt;p&gt;與此同時，由於融資條件收緊、經濟前景不確定以及新冠疫情大流行後需求減弱，商業房地產市場仍處於低迷狀態。ECB 表示，這種回檔可能考驗投資基金的韌性。&lt;/p&gt;

&lt;p&gt;報告表示，如果出現負面的宏觀金融意外，房地產市場的調整可能會變得無序，另外還指出了一些亮點，警告在始於美國的金融動盪之後，不應將這些亮點視為理所當然。&lt;/p&gt;

&lt;p&gt;戴金多斯說：「在所有這些挑戰中，歐元區銀行的韌性值得注意，但不應讓位於自滿。」&lt;/p&gt;

&lt;p&gt;EBC 表示，銀行得到強勁的資本和流動性部位的支持，這些部位現在必須得到保留。報告指出，有關當局應保持宏觀審慎資本緩衝，而一些國家也可能考慮「有針對性的增加」。&lt;/p&gt;

&lt;p&gt;ECB 表示，有鑑於經濟成長面臨的風險上升以及近期市場緊張，銀行應避免提高配息率，而應專注於保持現有的韌性。&lt;/p&gt;

&lt;p&gt;今年早些時候，幾家大型歐洲銀行獲 ECB 監管部門的批准，可以通過股票回購的方式將數十億歐元的過剩資本分配給投資人。&lt;/p&gt;

&lt;p&gt;戴金多斯說：「強化銀行業聯盟，特別是在歐洲共同存款保險計畫方面取得進展，將加強歐元區金融體系抵禦未來風險的能力。」&lt;/p&gt;

&lt;p class=&quot;warning&quot;&gt;本篇文章不提供合作夥伴轉載&lt;/p&gt;
",2023/05/31 23:00
央行金融穩定報告 示警這項投資的利率風險,https://news.cnyes.com/news/id/5198775?exp=a,台股新聞,"&lt;p&gt;中央銀行今 (31) 日發布 112 年金融穩定報告指出，考量主要經濟體通膨居高且未來走勢具不確定性，債券殖利率大幅上升的壓力仍存，並恐牽動台債殖利率再度走升，應密切關注金融機構債券投資的利率風險。&lt;/p&gt;

&lt;p&gt;央行說明，去年央行四度調升政策利率和央行定期存單利率，金融業隔夜拆款利率也隨之走升，惟整體市場流動性仍屬充裕。&lt;/p&gt;

&lt;p&gt;而 10 年期指標公債殖利率於去年 10 月下旬升抵 1.93% 近 14 年高點後，轉趨下滑。&lt;/p&gt;

&lt;p&gt;不過，考量主要經濟體通膨居高且未來走勢具不確定性，債券殖利率大幅上升的壓力仍存，央行提醒，恐牽動台債殖利率再度走升。&lt;/p&gt;

&lt;h6&gt;&lt;strong&gt;民眾購屋負擔仍居高 買在台北市壓力最重&lt;/strong&gt;&lt;/h6&gt;

&lt;p&gt;另一方面，央行提及，不動產市場交易明顯降溫且房價漲勢趨緩，民眾購屋負擔略降，但仍居高，去年第四季全國房貸負擔率逐季緩升後略回降為 40.25%，房價所得比為 9.61 倍，較去年同期增加，六都又以台北市購屋負擔最重。&lt;/p&gt;

&lt;p&gt;不過，截至 3 月底，住宅貸款與建築貸款的逾放比率均續降至 0.07%，不動產貸款風險控管尚屬良好。&lt;/p&gt;

&lt;p&gt;對於防疫險影響，央行說明，去年產險公司資產規模萎縮，稅前大幅虧損 1905 億元，至 12 月底平均資本適足率由前一年底 466.12% 降至 231.30%，所幸今年起理賠壓力有望減緩。&lt;/p&gt;

&lt;p&gt;另一方面，央行也提到，儘管金融情勢緊縮幅度放緩，但主要央行緊縮貨幣政策造成的金融緊縮環境，金融脆弱度攀升。&lt;/p&gt;
",2023/05/31 22:54
鴻海取得國創半導體IC、SiC事業 新成立IC設計公司強化車用整合,https://news.cnyes.com/news/id/5198762?exp=a,台股新聞,"&lt;p&gt;鴻海 (2317-TW) 與國巨 (2327-TW) 今 (31) 日晚間共同宣布，合資的國創半導體將旗下的 IC、SiC 元件 / 模組產品事業，以 2.04 億元讓予鴻海新設立的 IC 設計子公司。&lt;/p&gt;

&lt;p&gt;鴻海旗下新設立的 IC 設計子公司此次承接國創半導體的 IC、SiC 元件 / 模組產品線與團隊，將配合鴻海電動車於今年底開始乘用車交車的時程，與鴻海集團內車用相關事業群更緊密整合。&lt;/p&gt;

&lt;p&gt;未來新 IC 設計公司更聚焦在開發新的電子電機架構 (EEA) 軟硬整合的車用次系統 IC 與解決方案，同步也串聯各車用次系統的上下游廠商共同開發次世代、新架構的具競爭力的車用方案，供應全球車廠及車廠供應鏈廠商。&lt;/p&gt;

&lt;p&gt;鴻海董事長劉揚偉表示，鴻海承接由國創半導體分拆的產品事業及其相關的研發成果，把車用 IC 透過自有設計方案 / 參考設計上車，讓集團在整車和車用次系統做到更好的標準化 / 模組化以及架構優化，使得成本結構更具競爭力。&lt;/p&gt;

&lt;p&gt;劉揚偉進一步指出，透過軟硬整合差異化，也將帶來更好的車用產品競爭力，這些成果都將支持鴻海電動車事業與車用客戶在快速起飛的電動車市場取得更好的競爭優勢。&lt;/p&gt;

&lt;p&gt;國創半導體 1200V/800A SiC 碳化矽功率模組於去年第四季在鴻海科技日亮相，IC 產品 / 參考設計、SiC 等已密集進入車廠 / 供應鏈客戶設計導入 design-in 階段，尤其在 Powertrain、車身控制、車用充電、輔助駕駛等車用次系統所需的 IC 與參考設計方案均取得明顯進展。&lt;/p&gt;
",2023/05/31 22:25
香港開放虛擬資產交易平台牌照申請6月1日啟動,https://news.cnyes.com/news/id/5198764?exp=a,A股港股,"&lt;p&gt;香港證監會近日發布了公眾對監管持牌虛擬資產交易平台建議的諮詢總結，證監會表示，考慮廣泛的意見及提議後，已修改或釐清部分建議規定，《虛擬資產交易平台指引》將於 6 月 1 日生效，將容許零售投資者參與大型代幣交易。VATP 申請表格將在 5 月 25 日刊憲，6 月 1 日正式接受申請。&lt;/p&gt;

&lt;p&gt;證監會表示，共收到 152 份意見書，根據公眾的反饋意見，證監會對其中的 10 個主要問題進行了總結並做出了回應。&lt;/p&gt;

&lt;p&gt;香港證監會行政總裁梁鳳儀表示，香港虛擬資產監管框架依循「相同業務、相同風險、相同規則」原則，旨在提供妥善的投資者保障，管控主要風險，推動業界可持續發展。&lt;/p&gt;

&lt;p&gt;業內人士分析，上述原則意味著虛擬資產交易平台、從業者和傳統金融相關平台均基於業務和風險屬性接受監管。&lt;/p&gt;

&lt;p&gt;證監會稱，歡迎已準備好遵守香港證監會標準的虛擬資產交易平台運營者申領牌照，至於無意申領牌照的運營者，則應著手以有序方式結束其於香港的業務。&lt;/p&gt;

&lt;p&gt;現有在證券及期貨條例下持牌的虛擬資產交易平台，可有 12 個月過渡期，準備全面遵守《虛擬資產交易平台指引》。&lt;/p&gt;

&lt;p&gt;證監會中介機構部臨時主管蔡鍾輝表示，若虛擬資產交易平台在 6 月 1 日已在香港營運，可以有 9 個月過渡期提出申請。&lt;/p&gt;

&lt;p&gt;蔡鍾輝提醒，即使預計下半年將有散戶可參與的平台合規經營，但證監會目前未批准任何虛擬資產交易平台向散戶提供服務。&lt;/p&gt;

&lt;p&gt;不少受訪機構表示已經準備好申請牌照。&lt;/p&gt;

&lt;p&gt;聯企融資集團主席葉仕偉表明，他們的附屬公司將會申請牌照。「開放而審慎的監管是國家允許香港發展虛擬資產交易的一個重要原因。香港證監會的審核非常嚴格，必須在人才儲備、系統安全等各方面符合要求。」&lt;/p&gt;

&lt;p&gt;「矽谷銀行風波以來，全球資金出於避險需求大量流入亞洲，當中不少資金尤其是很多華人資金選擇了香港。申請虛擬資產交易平台牌照非常重要。」葉仕偉強調，「證券型代幣發行（STO）也是 IPO 的一種，但其上市成本比 IPO 低得多，流程更加簡單，只要資產產權清晰，即可進行 STO，無需整個公司 IPO。」&lt;/p&gt;
",2023/05/31 22:03
陽明LNG雙燃料新船建造合約 由韓國現代重工拿下,https://news.cnyes.com/news/id/5198752?exp=a,台股新聞,"&lt;p&gt;貨櫃航商陽明 (2609-TW) 今 (31) 日宣布，5 艘 15500 TEU LNG 雙燃料貨櫃輪新船建造合約，由韓國 HD 現代重工拿下，雙方簽署合約，預計 2026 年起陸續交船，以因應中長期營運發展規劃和船隊汰舊換新所需。&lt;/p&gt;

&lt;p&gt;陽明說明，為呼應 2050 年淨零碳排目標，持續布局綠色節能船隊，除推動現有營運船隊落實船舶能源效率管理、船舶碳強度監控外，也成立專責單位，積極關注各類型船舶節能裝置和未來船用燃料發展趨勢。&lt;/p&gt;

&lt;p&gt;本次陽明與現代重工簽署的 5 艘 15500 TEU 全貨櫃輪，採用 LNG 與低硫油的高壓型雙燃料主機，配置壓載水處理系統和相關節能裝備，符合國際最新環保和減碳法規。&lt;/p&gt;

&lt;p&gt;陽明指出，本系列新造船舶配置整合式航行資訊、設備工況監控系統和全球衛星寬頻系統等航行操控裝置，有助蒐集航行大數據資訊，並提升船舶營運安全管理。&lt;/p&gt;

&lt;p&gt;陽明目前營運船舶共 94 艘，總運能逾 71.5 萬 TEU，透過船隊逐步汰舊換新，可有效優化船隊、降低營運成本、降低溫室氣體排放，並依業務需要靈活配置新船於歐、美等主要航線。&lt;/p&gt;
",2023/05/31 21:54
〈美股早盤〉美債上限法案將在眾院全院表決 主要指數開低,https://news.cnyes.com/news/id/5198420?exp=a,美股雷達,"&lt;p&gt;美國債務上限的協議即將在國會進行投票，而又一輪財報凸顯美國企業感受到物價上漲的壓力，美股主要指數周三（31 日）開低。美股在 5 月最後一個交易日回吐部分單月漲幅，市場猜測隨全球經濟風險逼近，股市已經走得太遠太快。&lt;/p&gt;

&lt;p&gt;截稿前，&lt;a href=&quot;https://invest.cnyes.com/index/GI/DJI&quot;&gt;道瓊工業指數&lt;/a&gt;下跌近 200 點或近 0.6%，&lt;a href=&quot;https://invest.cnyes.com/index/GI/IXIC&quot;&gt;那斯達克綜合指數&lt;/a&gt;小漲近 0.02%，&lt;a href=&quot;https://invest.cnyes.com/index/GI/SPX&quot;&gt;標普 500 指數&lt;/a&gt;跌近 0.4%，&lt;a href=&quot;https://invest.cnyes.com/index/GI/SOX&quot;&gt;費城半導體&lt;/a&gt;指數跌近 1%。&lt;/p&gt;

&lt;p&gt;克里夫蘭聯準銀行總裁梅斯特（Loretta Mester）表示，她認為沒有令人信服的理由暫停升息，特別是在債務上限協定達成之後。本月早些時候聯準會（Fed）官員把基準利率上調至 5% 以上，暗示可能準備暫停始於去年的快速緊縮行動，但自那以來，強於預期的經濟數據讓市場對 6 月再次升息的預期升溫。&lt;/p&gt;

&lt;p&gt;美國債務上限協議以 7 比 6 的投票結果，將該法案提交眾議院進行全體表決。此次眾議院全體表決預計最早在美國當地時間 31 日進行，下一步將由民主黨控制的參議院進行審議。目前距離美國債務違約的日期越來越近，美國兩黨為攫取政治利益仍在進行極限拉扯。&lt;/p&gt;

&lt;p&gt;三菱日聯銀行經濟學家表示，目前較弱的美國 4 月通膨資料不太可能改變 Fed 在未來兩次會議升息 1 碼（25 個基點）的預期，因此該行認為目前較弱的美國通膨數據不會對美元造成負面影響，但全球經濟成長狀況的惡化顯然對美元有利，這將有助於美元在周五（2 日）的非農就業報告公布後也受到良好的支撐。&lt;/p&gt;

&lt;p&gt;其他消息方面，中國公布了去年 12 月以來最疲弱的採購經理人指數（PMI），亞洲股市指數跌至兩個月低點。香港恒生指數下跌近 2%，熊市即將來臨。離岸人民幣兌美元匯率跌至六個月來的最低水準。&lt;/p&gt;

&lt;p&gt;國際油價延續跌勢，西德州原油觸及 10 周低點。銅價創下近一年來最大單月跌幅，鐵礦石進一步跌破每噸 100 美元，原因是中國製造業放緩引發人們對這個最大金屬消費經濟體需求的擔憂。&lt;/p&gt;

&lt;h6&gt;截至台北時間周三（31&nbsp;日）21 時許：&lt;/h6&gt;

&lt;ul&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/DJI&quot;&gt;道瓊工業指數&lt;/a&gt;下跌 211.78 點或 0.64%，暫報 32,831.00&nbsp;點&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/IXIC&quot;&gt;那斯達克綜合指數&lt;/a&gt;下跌 9.02 點或 0.07%，暫報 13,008.41&nbsp;點&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/SPX&quot;&gt;標普 500 指數&lt;/a&gt;下跌 19.32 點或 0.46%，暫報 4,186.20&nbsp;點&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/SOX&quot;&gt;費半&lt;/a&gt;下跌 35.02 點或 0.99%，暫報 3,214.37&nbsp;點&lt;/li&gt;
&lt;li&gt;台積電 ADR 下跌 2.38% 至每股 99.56&nbsp;&lt;a href=&quot;https://invest.cnyes.com/forex/detail/usdtwd&quot;&gt;美元&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/futures/GF/US10YY&quot;&gt;10 年期美債殖利率&lt;/a&gt;跌至 3.675%&lt;/li&gt;
&lt;li&gt; 紐約輕原油下跌 0.75% 至每桶 68.94&nbsp;&lt;a href=&quot;https://invest.cnyes.com/forex/detail/usdtwd&quot;&gt;美元&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/futures/GF/IBCON&quot;&gt;布蘭特原油&lt;/a&gt;下跌 1.01% 至每桶 72.80&nbsp;&lt;a href=&quot;https://invest.cnyes.com/forex/detail/usdtwd&quot;&gt;美元&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/XAUUSDOZ&quot;&gt;黃金&lt;/a&gt;上漲 0.25% 至每盎司 1,982.10&nbsp;&lt;a href=&quot;https://invest.cnyes.com/forex/detail/usdtwd&quot;&gt;美元&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=&quot;https://invest.cnyes.com/index/GI/DXY&quot;&gt;美元指數&lt;/a&gt;升至 104.330&lt;/li&gt;
&lt;/ul&gt;

&lt;h6&gt;焦點個股：&lt;/h6&gt;

&lt;p&gt;&lt;em&gt;C3.ai(AI-US) 早盤挫跌 11.52X%，至每股 38.89 美元&lt;/em&gt;&lt;/p&gt;

&lt;p&gt;C3.ai 昨日收盤暴漲逾 30%，周三盤前一度走高但隨後轉跌逾 6%。該公司日前宣布其生成式人工智慧（AI）在亞馬遜 (AMZN-US) 旗下 AWS Marketplace 上架。此外，C3.ai 還將於近日美股盤後公布上季業績，當前不斷上漲的股價已提前反映出投資人對該公司業績以及發展前景的極度樂觀預期。&lt;/p&gt;

&lt;p&gt;&lt;em&gt;蘋果 (AAPL-US) 早盤上漲 0.39%，至每股 178 美元&lt;/em&gt;&lt;/p&gt;

&lt;p&gt;蘋果公司昨日在發給開發者一封題為「距離 WWDC23 還有一周」的電子郵件中，對傳聞已久的混合實境（MR）頭戴式設備發出有點明顯的暗示。到目前為止，幾乎所有關於 2023 年開發者大會（WWDC23）的報導都指向一款名為 Reality Pro 的混合實境頭戴式設備。&lt;/p&gt;

&lt;p&gt;&lt;em&gt;西方石油 (OXY-US) 早盤下跌 0.48%，至每股 58.31 美元&lt;/em&gt;&lt;/p&gt;

&lt;p&gt;監管文件顯示，「股神」巴菲特近幾日繼續利用油市疲軟的機會加倉西方石油，這是他本月第二次增持行動。美東時間周二，巴菲特旗下波克夏 &middot; 海瑟威公司提交的一份監管文件披露，在 5 月 25 日至 5 月 30 日之間，該公司買入了 466 萬股西方石油股票，買入價格在每股 58.30 至 58.85 美元區間，總投入約 2.75 億美元。&lt;/p&gt;

&lt;h6&gt;今日關鍵經濟數據：&lt;/h6&gt;

&lt;ul&gt;
&lt;li&gt;美國 4 月 JOLTS 職位空缺數報 1010.3 萬，預期 977.5 萬，前值 974.5&nbsp;萬&lt;/li&gt;
&lt;/ul&gt;

&lt;h6&gt;華爾街分析：&lt;/h6&gt;

&lt;p&gt;花旗策略師表示，科技股今年 31% 的強勁漲勢面臨力竭風險，倉位部署顯示投資人可能會獲利了結。Chris Montagu 等分析師在研究報告中寫道，納斯達克 100 指數期貨的多頭部位目前處於三年高位，倉位風險非常偏向於獲利了結，這可能使科技股一段時間來的漲勢遭遇逆風。&lt;/p&gt;
",2023/05/31 21:52
Fed理事鮑曼：美國房市反彈可能影響對抗通膨,https://news.cnyes.com/news/id/5198751?exp=a,美股雷達,"&lt;p&gt;Fed 理事鮑曼 (Michelle Bowman) 周三 (31 日) 表示，住宅市場的明顯反彈可能會影響 Fed 與通膨的鬥爭，即使 Fed 等待租金下跌對整體通膨數據的影響，房價也會「趨於平穩」。&lt;/p&gt;

&lt;p&gt;她在波士頓一場演說中指出，「隨著新租約進入市場，預計較低的租金最終將反映在通膨數據中。」&lt;/p&gt;

&lt;p&gt;近幾個月來，Fed 官員一直指望租金通膨緩解，最終降低整體通膨數據，因為租金是採用年均值計入數據的。&lt;/p&gt;

&lt;p&gt;鮑曼說，但這可能會抵消一些效應，「住宅房市似乎正在反彈」，房價「最近趨於平穩，這對我們降低通脹的鬥爭產生了影響」。&lt;/p&gt;

&lt;p&gt;鮑曼一直是較為鷹派的 Fed 官員之一，她沒有說明房市反彈可能如何影響政策觀點，也未提及 Fed 在 6 月 13 日至 14 日會議上是否升息。&lt;/p&gt;

&lt;p&gt;然而，這的確證明人們對 Fed 官員預期對有利通貨膨脹的一面持懷疑態度。&lt;/p&gt;

&lt;p&gt;當 Fed 在 2021 年秋季開始暗示即將升息，然後在次年 3 月展開激進的升息周期時，房貸利率也隨之上升。 隨之而來的是銷售放緩和房價下跌。&lt;/p&gt;

&lt;p&gt;但這個過程可能已經觸底，標普 CoreLogic Case-Shiller 全國房價指數在 2 月和 3 月環比上漲。&lt;/p&gt;

&lt;p&gt;建築開工率和建築許可證也可能達到最低點，建商信心一直在改善。&lt;/p&gt;
",2023/05/31 21:47
Lyondell Basell將退出煉油事業時間表延後至2025年,https://news.cnyes.com/news/id/5198743?exp=a,美股雷達,"&lt;p&gt;化工製造商 Lyondell Basell Industries (LYB-US) 周三 (31 日) 表示，原訂計畫退出煉油業務的時間將從 2023 年底順延至最晚 2025 年第 1 季末。&lt;/p&gt;

&lt;p&gt;該公司 4 月時表示，將在 2023 年底之前關閉其休士頓煉油廠。該公司之前曾兩度嘗試出售該工廠，均以失敗告終，並在過去 2 年關閉了 Lyondell 在美國的 5 家煉油廠。&lt;/p&gt;

&lt;p&gt;該公司表示，「良好的檢查和一致的表現，讓本公司有信心在休士頓廠繼續安全可靠地運轉。」&lt;/p&gt;

&lt;p&gt;該公司表示，一旦 Lyondell 退出煉油業務，將繼續研究休士頓工廠的未來選擇，包括生產藍氫和綠氫等低碳產品。&lt;/p&gt;
",2023/05/31 21:34
